epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30.3007,0.93288,1.40386,0.86527,0.82099,0.08333,0.29609,0.221,1.37281,3.67964,1.01359,0.00144145,0.00144145,0.00144145
43,30.8817,0.7729,1.46473,0.86479,0.06829,1,0.52024,0.44524,0.93751,2.49239,0.89923,0.00143595,0.00143595,0.00143595
44,31.4511,0.92901,1.62863,0.85092,0.79762,0.42591,0.55255,0.41391,0.92306,1.98276,0.88437,0.00143045,0.00143045,0.00143045
45,32.0274,0.71123,1.40994,0.87673,0.77038,0.66667,0.83309,0.54193,0.89177,1.58208,0.89536,0.00142495,0.00142495,0.00142495
46,32.6088,0.84266,1.4797,0.86019,0.8041,0.41667,0.79963,0.60623,0.85323,1.73817,0.86972,0.00141945,0.00141945,0.00141945
47,33.1994,0.75744,1.49557,0.89088,0.87605,0.25349,0.77519,0.574,0.92199,2.05411,0.90209,0.00141395,0.00141395,0.00141395
48,33.7733,0.93038,1.46786,0.87654,0.20158,1,0.812,0.67662,0.86088,2.3803,0.88328,0.00140845,0.00140845,0.00140845
49,34.5534,0.89615,1.56288,0.89831,0.16425,0.91667,0.43079,0.2789,1.42732,2.86031,1.04898,0.00140295,0.00140295,0.00140295
50,35.3082,0.80886,1.52878,0.90969,0.4625,0.91667,0.81083,0.64913,0.80127,2.94533,0.91427,0.00139745,0.00139745,0.00139745
51,35.9436,0.69244,1.49421,0.85151,0.83333,0.5,0.66693,0.47376,1.0245,3.763,0.93474,0.00139195,0.00139195,0.00139195
52,36.5164,0.87316,1.39286,0.85517,0.66667,0.5,0.55582,0.43913,0.86172,3.74158,0.88617,0.00138644,0.00138644,0.00138644
53,37.104,0.74406,1.58042,0.84071,0.31525,0.76069,0.48905,0.38661,0.86188,2.43536,0.90329,0.00138094,0.00138094,0.00138094
