epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.482,2.401,5.712,1.37952,0.00105,0.18559,0.00064,0.00021,1.80415,3.9867,0.99481,0.00018337,0.00018337,0.00018337
2,18.9753,1.25582,4.03609,0.94935,0.00393,0.65306,0.00351,0.00258,0.94362,3.63147,0.82887,0.000382145,0.000382145,0.000382145
3,21.5221,0.96117,3.03301,0.87276,0,0,0,0,0.85844,3.47123,0.80584,0.000579599,0.000579599,0.000579599
4,23.3864,0.90974,2.77978,0.85673,0.00335,0.59184,0.08076,0.05768,0.79872,3.34015,0.79328,0.000775733,0.000775733,0.000775733
5,25.4065,0.81343,2.57943,0.84597,0.00382,0.66964,0.00656,0.0049,0.72232,3.47862,0.79056,0.000970547,0.000970547,0.000970547
6,27.83,0.876,2.57033,0.85334,0.7201,0.12755,0.28529,0.19805,1.07397,2.45999,0.88146,0.00116404,0.00116404,0.00116404
7,30.785,0.83328,2.39931,0.86932,0.35872,0.37564,0.2627,0.19562,0.90037,2.21761,0.84924,0.00135621,0.00135621,0.00135621
8,33.3866,0.80584,2.24782,0.84291,0.16862,0.13776,0.13606,0.10295,0.87022,2.65516,0.84876,0.00154707,0.00154707,0.00154707
9,35.8167,0.76432,2.14596,0.86039,0.21412,0.44898,0.1313,0.07571,1.2951,9.42042,0.97356,0.00162299,0.00162299,0.00162299
10,37.994,0.8016,2.00449,0.84756,0.27606,0.24362,0.21659,0.16968,0.87307,2.75836,0.84754,0.00161749,0.00161749,0.00161749
11,41.0282,0.76873,1.91981,0.84888,0.18242,0.60842,0.24588,0.17708,0.95386,10.1233,0.85709,0.00161199,0.00161199,0.00161199
12,45.1222,0.7833,2.02251,0.83957,0.29109,0.41518,0.27466,0.20938,0.81859,6.48584,0.81696,0.00160649,0.00160649,0.00160649
13,46.9914,0.778,1.88305,0.84486,0.0553,0.37054,0.04603,0.02143,1.7982,5.74489,1.09461,0.00160099,0.00160099,0.00160099
14,49.2261,0.77054,1.6706,0.8459,0.3829,0.60015,0.44172,0.34339,0.8008,1.59733,0.80562,0.00159549,0.00159549,0.00159549
15,51.3583,0.78754,1.76368,0.84259,0.37134,0.68464,0.45078,0.35657,0.8317,2.24994,0.82057,0.00158998,0.00158998,0.00158998
16,54.0807,0.7438,1.74419,0.83804,0.41954,0.55612,0.48434,0.38005,0.79611,1.8399,0.81869,0.00158448,0.00158448,0.00158448
17,56.9049,0.70208,1.58421,0.83171,0.40617,0.70281,0.50915,0.43466,0.64853,2.02119,0.79193,0.00157898,0.00157898,0.00157898
18,59.3392,0.70252,1.56844,0.82446,0.3035,0.69005,0.38746,0.32589,0.65011,3.9632,0.78517,0.00157348,0.00157348,0.00157348
19,61.4267,0.71954,1.58337,0.82789,0.37321,0.6074,0.42147,0.33018,0.86556,1.57366,0.81088,0.00156798,0.00156798,0.00156798
20,63.6373,0.79406,1.57021,0.84225,0.42601,0.62372,0.49851,0.41015,0.74347,1.54072,0.7905,0.00156248,0.00156248,0.00156248
21,65.9162,0.69817,1.46743,0.82776,0.44287,0.53571,0.46573,0.40304,0.64108,1.95285,0.78972,0.00155698,0.00155698,0.00155698
22,68.1335,0.69269,1.56859,0.83162,0.43446,0.61033,0.50902,0.43138,0.58932,3.25624,0.7757,0.00155148,0.00155148,0.00155148
23,70.2816,0.67376,1.6054,0.82088,0.52321,0.59646,0.55759,0.47807,0.58729,1.32243,0.77594,0.00154598,0.00154598,0.00154598
24,72.1015,0.65738,1.60531,0.81926,0.53201,0.43797,0.47725,0.41094,0.55108,1.76163,0.77138,0.00154047,0.00154047,0.00154047
25,73.93,0.70011,1.44754,0.83335,0.50901,0.58929,0.53938,0.4562,0.57374,1.45775,0.77775,0.00153497,0.00153497,0.00153497
26,75.733,0.71679,1.50438,0.83506,0.49649,0.43197,0.43328,0.36525,0.58542,1.79634,0.77714,0.00152947,0.00152947,0.00152947
27,77.5588,0.70512,1.47071,0.82272,0.57684,0.33418,0.41824,0.34705,0.63673,1.98907,0.78039,0.00152397,0.00152397,0.00152397
28,79.3702,0.69313,1.40489,0.83192,0.46719,0.60778,0.5174,0.43676,0.61184,1.5472,0.78191,0.00151847,0.00151847,0.00151847
29,81.0583,0.66357,1.45665,0.82786,0.42964,0.39349,0.38659,0.33306,0.57746,1.6229,0.77657,0.00151297,0.00151297,0.00151297
30,82.8529,0.6692,1.48598,0.82201,0.37794,0.39413,0.33556,0.28515,0.63975,1.69816,0.77768,0.00150747,0.00150747,0.00150747
31,84.6582,0.695,1.70485,0.81927,0.20659,0.42347,0.2097,0.1839,0.54817,3.5898,0.77151,0.00150197,0.00150197,0.00150197
32,86.5011,0.6885,1.47231,0.81757,0.44383,0.62619,0.53197,0.46651,0.5476,1.25662,0.76993,0.00149647,0.00149647,0.00149647
33,88.2973,0.64691,1.39237,0.82177,0.51825,0.64668,0.57223,0.49661,0.55816,1.18788,0.77033,0.00149096,0.00149096,0.00149096
34,90.1568,0.68102,1.48202,0.82516,0.49125,0.49298,0.49448,0.41984,0.58279,1.4,0.78072,0.00148546,0.00148546,0.00148546
35,92.1617,0.64789,1.40276,0.82552,0.40704,0.55155,0.48277,0.41413,0.56719,2.05813,0.77864,0.00147996,0.00147996,0.00147996
36,94.3558,0.60948,1.47145,0.80483,0.2805,0.46811,0.33619,0.29142,0.56276,2.93876,0.77295,0.00147446,0.00147446,0.00147446
37,96.0932,0.62412,1.30386,0.8137,0.16436,0.45217,0.16511,0.13519,0.78705,2.41102,0.79764,0.00146896,0.00146896,0.00146896
38,97.8784,0.65762,1.41999,0.81719,0.50525,0.51977,0.51276,0.45102,0.54155,2.09755,0.77219,0.00146346,0.00146346,0.00146346
39,99.6706,0.64832,1.44686,0.8308,0.57638,0.34445,0.42548,0.36244,0.56214,2.07422,0.77497,0.00145796,0.00145796,0.00145796
40,101.58,0.66438,1.36172,0.82683,0.52775,0.58762,0.56241,0.47045,0.70393,1.34782,0.78731,0.00145246,0.00145246,0.00145246
41,103.868,0.65133,1.25487,0.82207,0.4603,0.59078,0.52431,0.43194,0.70963,1.58581,0.78957,0.00144696,0.00144696,0.00144696
42,106.188,0.67173,1.27472,0.82245,0.52212,0.53954,0.55546,0.46553,0.68035,1.56165,0.78356,0.00144145,0.00144145,0.00144145
43,108.206,0.63322,1.32984,0.82006,0.52397,0.68316,0.60539,0.52767,0.52955,1.31945,0.76854,0.00143595,0.00143595,0.00143595
44,110.069,0.59144,1.29001,0.8122,0.39167,0.62048,0.51278,0.44962,0.57407,1.80199,0.77403,0.00143045,0.00143045,0.00143045
45,111.916,0.59288,1.27419,0.81782,0.44238,0.67474,0.52883,0.45482,0.55949,1.36021,0.77163,0.00142495,0.00142495,0.00142495
46,113.721,0.6331,1.34579,0.82129,0.37609,0.44643,0.41728,0.36564,0.58167,2.0241,0.77295,0.00141945,0.00141945,0.00141945
