epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1084.42,0.76211,1.36554,0.8456,0.54136,0.25,0.58072,0.45002,0.90333,2.2652,0.91072,0.000973861,0.000973861,0.000973861
44,1107.58,0.74399,1.25111,0.81415,0.01341,0.5,0.24159,0.18117,0.96369,3.51498,0.95182,0.000957358,0.000957358,0.000957358
45,1131.74,0.7081,1.48588,0.84434,0.01763,0.58333,0.45454,0.30233,1.07957,3.41403,0.9669,0.000940855,0.000940855,0.000940855
46,1157.73,0.79175,1.53145,0.84545,1,0.13577,0.45096,0.34913,0.98136,2.83018,0.93523,0.000924352,0.000924352,0.000924352
47,1183.44,0.69064,1.19792,0.82593,0.51105,0.167,0.48149,0.41549,0.78216,2.68544,0.8935,0.000907848,0.000907848,0.000907848
48,1206.68,0.68891,1.27063,0.82779,0.56082,0.58158,0.5703,0.47515,0.81996,1.51899,0.89965,0.000891345,0.000891345,0.000891345
49,1229.36,0.65888,1.0751,0.83185,0.55508,0.5,0.58325,0.47368,0.86728,1.50925,0.91408,0.000874842,0.000874842,0.000874842
50,1255.4,0.70327,1.27353,0.80721,0.44517,0.67391,0.6083,0.49424,0.86769,1.56318,0.90318,0.000858338,0.000858338,0.000858338
51,1284.2,0.67163,1.20525,0.83255,0.47467,0.66667,0.71825,0.56552,0.91549,1.56475,0.88743,0.000841835,0.000841835,0.000841835
52,1310.55,0.67714,1.24179,0.81202,0.56905,0.75,0.70033,0.56635,0.72203,1.1549,0.87483,0.000825332,0.000825332,0.000825332
53,1336.6,0.72653,1.12522,0.84067,0.57948,0.75,0.70583,0.58598,0.7454,1.13405,0.87586,0.000808828,0.000808828,0.000808828
54,1365.45,0.65517,1.09592,0.81118,0.71815,0.5716,0.77167,0.63693,0.70806,1.29441,0.86782,0.000792325,0.000792325,0.000792325
55,1394.72,0.62089,0.97755,0.81266,0.46742,0.58333,0.709,0.60367,0.71075,1.57112,0.87672,0.000775822,0.000775822,0.000775822
56,1423.11,0.76513,1.20301,0.8334,0.48089,0.57404,0.6725,0.53529,0.80352,1.76328,0.86883,0.000759318,0.000759318,0.000759318
57,1451.34,0.69504,1.05269,0.83539,0.45577,0.75,0.65976,0.5146,0.8728,1.62058,0.87407,0.000742815,0.000742815,0.000742815
58,1481.69,0.70929,1.10388,0.82467,0.43413,0.59032,0.54901,0.46412,0.71439,1.60148,0.868,0.000726312,0.000726312,0.000726312
59,1511.51,0.74495,1.03705,0.80347,0.40065,0.43615,0.54649,0.45244,0.77343,1.81374,0.87873,0.000709809,0.000709809,0.000709809
60,1539.06,0.68284,1.07771,0.81603,0.58524,0.33333,0.57068,0.46768,0.80298,2.11249,0.86831,0.000693305,0.000693305,0.000693305
61,1567.22,0.62681,0.93079,0.81748,0.45245,0.57786,0.55938,0.45298,0.75352,2.14812,0.86598,0.000676802,0.000676802,0.000676802
62,1596.8,0.63803,0.9351,0.82464,0.29426,1,0.66406,0.52183,0.78416,2.34569,0.87955,0.000660299,0.000660299,0.000660299
63,1625.46,0.57492,0.97116,0.82233,0.60183,0.66667,0.63426,0.51909,0.72008,1.64034,0.85851,0.000643795,0.000643795,0.000643795
64,1652.46,0.63437,0.90641,0.83513,0.44279,0.66667,0.63075,0.5195,0.78973,1.3588,0.85994,0.000627292,0.000627292,0.000627292
65,1681.39,0.6818,0.946,0.8246,0.46901,0.76312,0.66917,0.5473,0.73132,1.3961,0.85482,0.000610789,0.000610789,0.000610789
66,1711.48,0.57842,0.94301,0.80718,0.58894,0.63239,0.62858,0.51119,0.65634,1.67983,0.85607,0.000594286,0.000594286,0.000594286
67,1739.12,0.60551,0.89743,0.82698,0.53383,0.54069,0.64492,0.55424,0.6702,1.73444,0.85609,0.000577782,0.000577782,0.000577782
68,1767.52,0.61209,0.86474,0.80931,0.47388,0.33333,0.64961,0.54591,0.69546,1.92001,0.85565,0.000561279,0.000561279,0.000561279
69,1794.42,0.58651,0.90378,0.81722,0.30789,1,0.62744,0.50765,0.71678,2.55963,0.86654,0.000544776,0.000544776,0.000544776
70,1820.26,0.51194,0.82811,0.8172,0.25,0.33333,0.30499,0.26273,0.72199,3.43239,0.8774,0.000528272,0.000528272,0.000528272
71,1843.42,0.58767,0.90204,0.81427,0.39286,0.66667,0.46528,0.39254,0.73156,3.20804,0.8674,0.000511769,0.000511769,0.000511769
72,1866.42,0.62067,0.89402,0.80767,0.55349,0.66667,0.69442,0.56887,0.73931,1.57484,0.86142,0.000495266,0.000495266,0.000495266
73,1892.27,0.60517,0.94581,0.80041,0.5473,0.66667,0.68992,0.55683,0.72258,1.36307,0.86191,0.000478762,0.000478762,0.000478762
74,1921.47,0.61169,0.79836,0.81903,0.57513,0.66667,0.68992,0.54377,0.73517,1.31283,0.86393,0.000462259,0.000462259,0.000462259
75,1947.7,0.60745,0.77783,0.80281,0.69077,0.70306,0.695,0.56959,0.73547,1.38622,0.8654,0.000445756,0.000445756,0.000445756
76,1974.98,0.56766,0.76424,0.80858,0.71742,0.75,0.68083,0.53335,0.78076,1.47881,0.87078,0.000429253,0.000429253,0.000429253
77,2003.95,0.65021,1.00903,0.82932,0.71254,0.72208,0.66272,0.54694,0.753,1.46583,0.86837,0.000412749,0.000412749,0.000412749
78,2032.9,0.59287,0.84271,0.80598,0.59773,0.58333,0.61167,0.51172,0.74196,1.38508,0.86598,0.000396246,0.000396246,0.000396246
79,2060.71,0.55507,0.75477,0.77697,0.375,1,0.69064,0.56458,0.73824,2.09698,0.8671,0.000379743,0.000379743,0.000379743
80,2084.92,0.56877,0.8778,0.78647,1,0.15646,0.25041,0.23473,0.68361,3.6078,0.88607,0.000363239,0.000363239,0.000363239
81,2111.56,0.56381,0.78903,0.82475,0.45,0.66667,0.48258,0.40138,0.68057,3.30799,0.87715,0.000346736,0.000346736,0.000346736
82,2137.54,0.58758,0.71204,0.80649,0.53931,0.5,0.64492,0.55501,0.66116,1.7581,0.85153,0.000330233,0.000330233,0.000330233
83,2161.48,0.64228,0.78872,0.82153,0.81304,0.52046,0.70071,0.59103,0.64289,1.32292,0.84433,0.000313729,0.000313729,0.000313729
84,2183.99,0.50819,0.64074,0.80044,0.80221,0.50753,0.75671,0.63884,0.697,1.33177,0.8478,0.000297226,0.000297226,0.000297226
85,2211.8,0.57039,0.86156,0.81283,0.81488,0.51039,0.77175,0.65846,0.66736,1.33446,0.8463,0.000280723,0.000280723,0.000280723
86,2239.43,0.57757,0.79513,0.81046,0.83058,0.5327,0.78367,0.68595,0.63008,1.46697,0.84207,0.00026422,0.00026422,0.00026422
87,2264.64,0.48883,0.66889,0.8146,0.71489,0.57553,0.75617,0.67303,0.63577,1.77509,0.8429,0.000247716,0.000247716,0.000247716
88,2287.37,0.49138,0.63033,0.79172,0.32967,1,0.72867,0.66505,0.63903,2.17304,0.84228,0.000231213,0.000231213,0.000231213
89,2312.64,0.52822,0.69188,0.80574,0.34615,1,0.70771,0.6242,0.65156,2.2261,0.84429,0.00021471,0.00021471,0.00021471
90,2341.63,0.60488,0.79601,0.8094,0.2875,1,0.70335,0.61955,0.64355,1.89397,0.84206,0.000198206,0.000198206,0.000198206
91,2368.68,0.57231,0.63468,0.79647,0.73214,0.49504,0.75197,0.68222,0.58327,1.4574,0.83263,0.000181703,0.000181703,0.000181703
92,2395.24,0.52129,0.64409,0.80386,0.74182,0.49577,0.75197,0.67685,0.57467,1.47185,0.83303,0.0001652,0.0001652,0.0001652
93,2421.79,0.48458,0.6642,0.80253,0.7432,0.49497,0.75197,0.67701,0.57794,1.48662,0.83302,0.000148696,0.000148696,0.000148696
94,2447.07,0.46447,0.65642,0.78848,0.82772,0.55705,0.7653,0.69268,0.58738,1.49149,0.83231,0.000132193,0.000132193,0.000132193
95,2473.56,0.48884,0.58504,0.78742,0.82601,0.55933,0.7653,0.67426,0.59315,1.41793,0.83243,0.00011569,0.00011569,0.00011569
96,2499.92,0.46097,0.54928,0.78017,0.82053,0.56024,0.76167,0.66568,0.6004,1.38178,0.83431,9.91865e-05,9.91865e-05,9.91865e-05
97,2529.88,0.43773,0.52577,0.8044,0.81724,0.55757,0.76167,0.66558,0.60193,1.33925,0.8346,8.26832e-05,8.26832e-05,8.26832e-05
98,2558.34,0.46842,0.54925,0.76989,0.81583,0.55161,0.76167,0.66492,0.59838,1.33663,0.83466,6.61799e-05,6.61799e-05,6.61799e-05
99,2583.64,0.49884,0.634,0.80801,0.81617,0.55009,0.7653,0.6779,0.59788,1.3694,0.83425,4.96766e-05,4.96766e-05,4.96766e-05
100,2607.23,0.43376,0.53441,0.80734,0.81679,0.55048,0.7653,0.67752,0.59634,1.39559,0.83385,3.31733e-05,3.31733e-05,3.31733e-05
